CPF,ID
03022776953,198
79763819419,23
67120543948,186
01635067952,78
94526641215,5
31329864153,23
83974572770,159
86709043451,138
49123427620,30
79647444203,61
94742576404,63
39419935310,194
87057955799,129
60587448241,126
58896894592,85
81140323522,166
81140323522,73
06428172836,150
51209072401,35
52228078744,115
93812061015,44
33653995215,160
87057955799,112
86709043451,2
76655137544,107
01920639075,116
58896894592,23
54866293368,182
58896894592,76
24790770591,19
44625759181,146
35101621315,93
87720576954,71
60587448241,35
32290979216,22
70260387050,13
64582457644,99
22324172228,121
58896894592,90
13183823983,29
87057955799,159
55294796002,105
06461558362,197
89967652919,127
83526423577,108
61596110968,182
23195101169,197
24790770591,49
50944150498,85
54866293368,156
85531923628,38
85254979377,122
70260387050,94
20316501926,78
30345303648,165
81140323522,121
50944150498,87
52228078744,8
10284487695,65
74510667440,129
80366338941,186
94742576404,12
48037233959,170
33653995215,184
83974572770,1
14031789065,3
23248508562,144
42611790467,30
45362219034,71
32550066704,49
45366402407,132
60587448241,193
54646632361,15
04090191771,156
48037233959,55
57455491392,105
17599360018,39
45464664342,172
24790770591,113
35101621315,182
01920639075,183
89470290796,36
13183823983,49
34628833159,72
83974572770,129
94526641215,185
98054867227,125
22324172228,176
68448948550,45
54646632361,23
83974572770,74
68448948550,175
52204980058,150
42230481369,81
01635067952,17
74510667440,118
64582457644,89
01920639075,65
32290979216,134
30113182187,163
79763819419,81
91107111169,155
64852242709,67
79647444203,31
93883955714,120
24790770591,34
20316501926,42
24790770591,144
04090191771,14
79647444203,176
53482073107,193
79647444203,66
87720576954,55
30345303648,39
87057955799,195
48037233959,145
48037233959,173
34628833159,129
45366402407,137
51209072401,141
83974572770,104
90540947267,78
67786345560,23
23195101169,99
91107111169,150
44625759181,27
51209072401,92
89967652919,64
23444552103,136
13183823983,193
89470290796,125
20316501926,126
89967652919,61
90540947267,70
98054867227,15
45366402407,179
52228078744,130
42611790467,63
77553352644,93
79647444203,125
08644340024,27
17748732540,90
96322311209,131
13183823983,126
01602367269,61
16687849327,52
52204980058,138
42611790467,133
44625759181,144
83974572770,190
94742576404,83
31508543337,183
85254979377,92
32550066704,180
01920639075,59
91107111169,136
83974572770,167
20316501926,163
64852242709,24
94742576404,144
22191459329,167
50944150498,47
67256985747,142
74510667440,112
93402913380,23
20316501926,123
93883955714,20
96222450880,118
33050481023,90
16687849327,59
66362469507,196
32988793978,55
20316501926,108
48037233959,179
32290979216,176
79209300151,113
33653995215,77
75530690007,60
16687849327,42
83526423577,103
48037233959,146
85531923628,169
50944150498,40
51777186579,180
83974572770,147
14031789065,92
30345303648,155
11267993544,95
33653995215,26
06461558362,168
29037602305,37
79647444203,128
33050481023,28
90540947267,22
24790770591,175
43078166333,70
