CPF,horas_atuando,duble_cpf,seguidores_instagram,seguidores_twitter
78954917943,140,90566944856,71690,41254
00381024382,311,33653995215,11024,88880
64610171754,462,07346376555,30951,28582
07346376555,257,08459191417,8539,62825
08459191417,145,94526641215,8543,83328
94526641215,439,29037602305,78123,9013
43462822643,175,98054867227,19024,45916
97104163471,431,71546358433,41399,54807
85254979377,457,97104163471,10128,77415
72644632610,38,85254979377,58772,5281
76655137544,456,00381024382,39360,25035
93812061015,3,76655137544,53278,19401
26239557971,177,64610171754,17996,67200
41601877126,312,26239557971,91020,20456
24477427300,339,26239557971,97705,72301
42230481369,463,24477427300,97859,29580
52228078744,473,42230481369,16458,33945
14031789065,294,52228078744,52902,85959
08801337902,348,14031789065,99807,29921
45464664342,488,26239557971,69722,28056
67786345560,334,67473465396,35748,51551
82919424560,434,67786345560,12086,48056
90540947267,312,82919424560,65766,31694
86807268207,4,54646632361,9754,11003
18907914107,308,86807268207,30423,95809
55294796002,110,18907914107,70749,17269
64582457644,125,42963488505,6662,49657
69417222111,216,64582457644,99938,28794
38734549315,264,69417222111,62268,52354
24386897324,365,87057955799,57880,20710
32290979216,246,61201117680,29458,40810
93705208402,260,32290979216,83856,20553
80335882707,38,93883955714,30728,4483
26524324481,354,80335882707,40684,69227
50575121595,96,26524324481,96532,54814
04070585629,477,74510667440,8011,71401
93883955714,84,04070585629,55672,68620
32550066704,267,85425823503,75111,37612
06461558362,96,32550066704,27764,41668
93402913380,127,93812061015,32741,63414
23248508562,50,53764094684,61375,37252
21912056400,204,14645898267,73057,67334
46845456545,4,77553352644,53781,28212
66362469507,329,67473465396,69749,74001
17599360018,145,11905722707,53714,16745
46121162527,113,90566944856,92358,34249
83526423577,119,16094242344,67574,9147
31508543337,186,83526423577,45295,91801
34628833159,460,60587448241,63289,37971
71401834961,298,18907914107,69077,14874
80864240004,107,34433277166,96925,69547
34433277166,3,93883955714,51769,31882
15234931851,4,46845456545,48547,69963
33050481023,305,58896894592,86140,5101
48640804590,186,01866233229,26814,16025
01866233229,209,89470290796,78424,63808
27574821749,379,05039061444,74097,36322
05039061444,322,33653995215,86269,12288
60459336426,496,87057955799,47996,994
23195101169,130,05039061444,48846,26768
51777186579,476,46121162527,22456,93041
50431706221,129,11905722707,3146,60547
48037233959,329,50431706221,37276,56537
19039390896,285,48037233959,40637,80514
13183823983,407,53482073107,20221,30834
41604470178,28,94742576404,53394,87832
55643847308,496,41604470178,26737,45009
15704012739,127,19039390896,84324,29891
42963488505,431,94742576404,6998,73651
60809920232,368,08644340024,89417,67587
64962455172,355,11905722707,29820,13964
24790770591,127,55643847308,5949,88034
45366402407,21,54176794147,90823,7641
21416377461,62,85254979377,66047,53379
70260387050,435,97104163471,64363,57213
74510667440,130,70260387050,91556,72040
08644340024,186,74510667440,9418,11410
46086248254,439,11163225476,24217,89043
61201117680,494,83526423577,42133,13287
90566944856,403,61201117680,71279,51751
