ID,nome,numero_de_atores,audiencia,diretor_cpf,numero_de_episodios,data_inicio,data_fim,horario
1,Management,8,63,14827675633,186,01/04/2016,04/10/2016,22:30
2,Footloose,56,19,86807268207,72,08/01/2015,21/03/2015,20:00
3,After Five in the Jungle (Nach Fünf im Urwald),17,48,66362469507,165,10/10/2017,24/03/2018,14:30
4,Winnie the Pooh and a Day for Eeyore,81,71,35101621315,40,12/03/2016,21/04/2016,23:00
5,"Cry in the Dark, A",26,13,16728589889,114,03/12/2015,26/03/2016,17:00
6,"Gate II: Trespassers, The",100,5,14879502650,99,22/12/2017,31/03/2018,19:30
7,No Greater Love,70,2,43078166333,157,13/12/2016,19/05/2017,18:30
8,Riding Giants,62,62,44625759181,36,05/03/2016,10/04/2016,16:30
9,Rocky V,50,26,00381024382,171,18/01/2018,08/07/2018,17:30
10,"Perfect Murder, A",19,53,54176794147,106,27/02/2018,13/06/2018,20:00
11,Chained for Life,61,71,22314819720,52,11/02/2016,03/04/2016,19:30
12,Whirlygirl,59,99,97689470542,36,31/07/2015,05/09/2015,23:00
13,Falling in Love Again,57,77,45362219034,200,11/06/2016,28/12/2016,18:00
14,"Great K & A Train Robbery, The",24,37,15234931851,115,11/12/2017,05/04/2018,23:30
15,Buried Alive,41,27,76243814907,41,14/03/2016,24/04/2016,17:00
16,South Central,4,74,48037233959,38,13/07/2016,20/08/2016,19:00
17,Guts (Agallas),9,49,38869959043,63,13/04/2018,15/06/2018,18:00
18,The Snow White Murder Case,85,60,18120255676,191,25/10/2015,03/05/2016,20:00
19,People on Sunday (Menschen am Sonntag),12,28,13183823983,54,05/05/2016,28/06/2016,17:30
20,116,90,5,26524324481,97,09/06/2016,14/09/2016,22:30
21,"End of the Line, The",33,47,22324172228,92,24/10/2015,24/01/2016,17:30
22,Massacre at Central High,75,33,98054867227,83,02/12/2015,23/02/2016,18:00
23,Echelon Conspiracy,75,90,31508543337,122,30/11/2015,31/03/2016,15:30
24,Fanboys,35,5,23195101169,134,01/12/2015,13/04/2016,22:00
25,Hospital,43,38,64582457644,160,31/03/2016,07/09/2016,16:00
26,Intruder in the Dust,76,82,57110086978,37,13/02/2017,22/03/2017,23:30
27,Maradona by Kusturica,95,50,74510667440,18,22/06/2016,10/07/2016,17:00
28,Portrait of Maria (María Candelaria (Xochimilco)),60,19,68448948550,92,28/12/2016,30/03/2017,16:00
29,Desert Bloom,73,99,21912056400,30,18/09/2017,18/10/2017,19:30
30,Sherlock Jr,50,73,86807268207,4,27/12/2015,31/12/2015,15:30
31,Trail of the Pink Panther,90,4,32550066704,35,28/07/2016,01/09/2016,22:00
32,Solino,20,66,33653995215,188,21/07/2016,25/01/2017,19:00
33,Highball,78,99,45366402407,47,18/09/2016,04/11/2016,18:30
34,Brother Rat,97,74,38869959043,1,23/03/2017,24/03/2017,16:00
35,Batman & Robin,17,73,55294796002,171,09/04/2015,27/09/2015,15:00
36,"Kentucky Fried Movie, The",30,70,12304828694,78,27/08/2015,13/11/2015,14:30
37,Titanic,36,50,97689470542,14,15/08/2015,29/08/2015,23:00
38,"Mob, The",11,69,35101621315,154,19/04/2016,20/09/2016,14:30
39,Fitzcarraldo,92,33,24658686224,31,14/09/2015,15/10/2015,22:00
40,Stella Does Tricks,13,20,71230680232,159,03/11/2016,11/04/2017,15:00
41,Sour Grapes,99,32,79209300151,181,03/12/2015,01/06/2016,23:00
42,Loving Leah,76,87,26524324481,4,02/09/2017,06/09/2017,16:00
43,Entity,97,100,41604470178,158,15/05/2015,20/10/2015,18:00
44,Lady Chatterley,82,31,01635067952,123,08/07/2015,08/11/2015,21:30
45,Ghost Son,8,87,35101621315,149,13/08/2017,09/01/2018,18:00
