CPF,ID
62430064859,634
48475419816,6466
98050562258,322
69821321988,1429
62754272342,1809
60554018364,670
47515115286,302
56340874709,14462
99927173917,4614
34645661118,4247
83977818281,17774
51058773114,9506
62905804865,557
16381303269,11635
43655454057,616
60045169189,2114
36344848174,10647
52428175450,167
64733242258,1429
62363391338,120
17922582079,10590
41290027459,322
98072374836,8920
90443496779,1921
63158904648,1900
10226769341,768
90305749577,9506
61400339414,786
24741788183,10590
98225632570,2575
75973529710,10992
41939354663,2114
24761743396,553
71843386634,670
83570180090,421
63565431530,10992
26015084817,4247
68590870058,70
96603321616,1574
14574154622,10559
11039996592,1921
77166059317,1433
66340498808,693
66355397782,10625
60622091618,322
75419281562,652
87413044878,12658
35031643987,2114
55562195442,11635
98365377239,10559
24424117389,9741
51562975002,670
69373507019,2841
98606714388,120
24187690711,10867
62030397065,9741
56971854645,8920
34561247268,6466
31605064508,121
37511993447,1824
46920924165,167
79739176633,768
91847458310,557
91740059504,425
33929663063,77
88158261767,129
87453210256,8920
65520925946,4247
40533497431,671
13246021681,11081
99708295602,553
15744138143,9806
40303767314,2114
90435596008,13654
60305786766,2575
76001975282,869
55822245624,310
19275478194,9833
11624827381,122
28424923979,10567
54544321337,70
34780336445,425
71996345735,10590
55043696481,243
89537782819,2675
88203859060,322
89235915009,4247
60032763099,9506
51877978950,176
69485802820,672
29294692936,10625
59762531702,176
10603308817,167
59859628851,9532
25283847473,955
17150423906,2114
53816572704,10590
42540868186,19457
74697945820,10992
25707235393,310
64621791160,6466
11236236636,557
41599347972,122
76609082274,652
90174701909,10867
78850316843,672
53128079581,818
64740960813,1647
61662339507,10647
63089532030,9833
86006320178,1574
96364445744,8920
17810538872,634
58348096510,652
16072659999,2575
70657249534,2841
98750997659,4247
83967669734,10625
44555426893,2841
41803479902,1999
23475376855,869
30244891165,1900
51876634128,557
18663916369,10590
10719958491,1574
90774583764,652
68675512645,10647
18690897935,9806
78034063807,10867
13686919904,1999
31099270692,24
48431521621,1824
50124516425,869
35449688069,129
76351021456,818
39449408758,8920
56777509336,310
40166514703,310
56381129130,9506
88768543104,1538
92401922136,6466
32031360200,9506
32996543831,9373
34703975357,14128
57378347012,6466
38278740993,22
10860582715,2675
56207768279,10647
79949309210,1538
34543427731,1647
44659724130,121
74318743948,1647
31272906135,652
49948123229,1999
45375544924,322
29065875622,693
44946701904,243
77436143536,1538
42627245410,9806
77775684634,12211
22022953951,10647
67408316099,167
72806060674,10590
39488328235,425
35304119644,818
71811538701,693
53563026984,786
59001750069,670
69608723173,634
28771107786,1574
53419436364,8920
13218061745,12658
54843654541,672
23406445815,2575
78365638233,955
42855426097,11081
37148472097,9476
61674119848,9806
12829800334,2675
85019725573,11081
57285202609,129
91654867396,98
99290550323,12211
43797591935,1538
68694507460,671
36042456241,4614
48785330351,129
98389008553,129
11124680282,2114
84484833596,12658
85979273539,120
70121891327,4614
66274301107,8920
54418909227,10647
51844229017,1429
90041073362,9833
82107955270,768
70062730687,2059
65646059782,9833
14439502985,12658
49589904236,421
64080134975,22
77966763891,14462
56159253946,98
43711496110,616
85845953114,322
57686186077,2067
84970955627,19457
21465244623,2114
72083314330,11081
96560782708,9016
10011241649,557
56349731894,1900
64447032619,9506
17974307027,2841
32120205147,693
35329951135,322
37366602012,10590
22762164371,302
33205633276,768
56456890529,4614
67487395482,8920
90059528744,9373
