CPF,horas_atuando,duble_cpf,seguidores_instagram,seguidores_twitter
77865526808,100000,,29063,12825
89782104555,1000,77865526808,64577,85536
97910203555,50000,77865526808,94163,84832
91978880965,500,77865526808,29792,55879
45294382560,20000,91978880965,89936,37777
50294322171,5000,,28616,2890
84065321519,20000,77865526808,36505,80733
78710292980,15000,84065321519,76725,48052
10955596831,2500,89782104555,88364,60584
73579592968,100,97910203555,11785,91470
87549845532,500,78710292980,74095,7293
34204444604,12000,78710292980,95048,85273
94350372206,100000,78710292980,69297,71135
62090201667,50000,,1801,72894
16233140694,100000,77865526808,79234,38904
92293880752,50000,50294322171,69837,12811
76767097420,1000,,19876,47100
66251803959,20000,10955596831,83935,61857
60820868110,12000,,82704,84374
17733493364,1000,78710292980,88942,19537
75945178837,2500,,30657,95828
42828610512,100,76767097420,51839,35414
68223647908,15000,45294382560,85142,80993
78558013786,15000,91978880965,17322,91376
23513955375,2500,78710292980,97882,69792
18690897935,100000,,16919,2774
71010224838,12000,,17367,35879
39865053785,12000,87549845532,6364,9206
65862816230,100000,,54566,18062
55492533949,100000,,94494,27824
21083537444,500,,29963,32526
96944647226,5000,,98337,53148
65836835272,15000,50294322171,65748,36413
30416119277,500,76767097420,73132,24400
17043617987,100000,92293880752,30445,47379
64763348634,20000,55492533949,17098,88822
74208381818,5000,23513955375,72111,38644
58230783451,12000,16233140694,49408,319
57512745769,500,75945178837,75620,19593
29831054933,5000,,4641,60679
86441508670,12000,78710292980,29031,21258
36118529805,100,97910203555,15747,18762
14188967429,100000,77865526808,87791,90621
27185819902,50000,66251803959,3508,33131
21432468838,2500,,3749,23044
51230026165,15000,97910203555,1295,74954
16671534897,20000,,68550,96762
26315031125,12000,55492533949,11881,3982
97543734378,5000,71010224838,20596,829
74322272096,2500,16671534897,55196,20360
24947517479,100000,58230783451,48332,92938
48183442470,50000,73579592968,48096,79023
61219644518,50000,17733493364,62177,7839
56827053184,5000,,52735,28534
10121577487,500,71010224838,7186,75239
79883222212,100000,91978880965,78342,33341
37784667300,100000,34204444604,27793,92539
47580767548,50000,16233140694,80499,88717
84077557559,15000,,97658,23137
88214618506,20000,42828610512,99473,74185
60930840381,2500,74208381818,20118,68339
36714864815,12000,76767097420,75379,11200
55332757758,5000,48183442470,47824,35566
61196505081,2500,65836835272,28219,85987
80549556253,5000,,54616,73172
64223323622,15000,39865053785,36167,57549
29749123016,5000,30416119277,42817,82577
91945631962,5000,,43176,63848
11450246857,5000,,13267,7436
19985507570,100000,87549845532,89852,80516
30054096892,100,51230026165,96051,13351
64018357188,20000,17733493364,62268,39740
15523819198,20000,34204444604,8864,38069
70861856830,5000,,32222,83617
58533101073,50000,47580767548,60417,79849
58083841260,15000,65836835272,89445,27462
19728313672,15000,,53660,40988
85165873374,50000,60820868110,18487,47644
98849286619,20000,,58175,47071
42244819922,100000,19985507570,86828,13202
21524952464,12000,68223647908,48535,16315
60946683063,100000,51230026165,55197,97567
14566008889,20000,15523819198,75618,99130
47562779528,50000,17043617987,24734,89305
