ID,nome,numero_de_atores,audiencia,diretor_cpf,numero_de_episodios,data_inicio,horario
4247,Scary Movie,58,170355,29034509412,49,2013-09-17,20:00:00
955,Mission: Impossible II,90,106268,82013240101,52,2009-11-28,14:00:00
98,Gladiator,94,864470,84554111132,65,2010-08-04,04:00:00
77,Memento,78,781602,66905511217,57,2007-10-01,11:00:00
9532,Final Destination,81,374145,25877687130,7,2013-09-18,02:00:00
2067,Mission to Mars,55,286500,22978359573,15,2003-06-26,03:00:00
1900,Traffic,46,935700,89338137314,28,2010-07-27,01:00:00
10567,Dinosaur,41,778046,82304657929,45,2006-02-28,03:00:00
9741,Unbreakable,96,717510,90140536634,37,2000-12-11,09:00:00
19457,The Yards,30,717413,65677825309,61,2012-07-11,10:00:00
243,High Fidelity,14,314385,49765185125,92,2013-01-16,23:00:00
10559,Frequency,6,420872,56746775261,9,2014-08-25,22:00:00
10647,Pay It Forward,46,918609,58873735489,35,2007-07-01,07:00:00
786,Almost Famous,45,417498,86282058704,81,2011-08-13,21:00:00
12211,Highlander: Endgame,68,513515,14050882099,11,2012-11-28,22:00:00
10867,Malena,7,584722,58314012652,12,2004-02-15,08:00:00
120,The Lord of the Rings: The Fellowship of the Ring,68,752808,68333933101,21,2014-05-04,09:00:00
671,Harry Potter and the Philosopher's Stone,49,65378,64358611748,49,2006-05-04,17:00:00
129,Spirited Away,71,334622,83594002377,6,2012-05-09,09:00:00
161,Ocean's Eleven,52,78088,37369821940,26,2004-05-31,05:00:00
2114,Final Fantasy: The Spirits Within,33,231283,97257110526,81,2006-05-12,04:00:00
2575,The Tailor of Panama,93,217769,29622431678,83,2010-08-24,02:00:00
869,Planet of the Apes,66,622564,75816007124,37,2011-11-12,07:00:00
1999,In the Bedroom,50,433748,26489663511,58,2012-04-04,01:00:00
634,Bridget Jones's Diary,85,272583,82681011156,75,2015-07-27,07:00:00
1921,Sweet November,95,381465,49083265107,9,2008-11-18,09:00:00
9476,A Knight's Tale,22,550470,45923203990,78,2011-01-20,21:00:00
1433,The Devil's Backbone,73,399437,37738722085,47,2010-10-26,03:00:00
12658,Someone Like You...,13,525737,38659912868,56,2006-04-18,18:00:00
167,K-PAX,98,860803,47038609552,11,2012-08-27,17:00:00
10992,Cats & Dogs,92,133772,19905137285,29,2012-04-06,04:00:00
768,From Hell,7,272431,38195534733,97,2001-10-31,03:00:00
121,The Lord of the Rings: The Two Towers,74,148778,18673295413,65,2004-02-27,15:00:00
