CNPJ,CPF
79522914976349,77865526808
82874747428016,89782104555
83278808046270,97910203555
82622589316584,91978880965
68312882938921,45294382560
97534969517714,50294322171
19340753971102,84065321519
62668877819131,78710292980
74549080594929,10955596831
97990733908995,73579592968
37807480399323,87549845532
94466310402991,34204444604
82165497775159,94350372206
38045647514401,62090201667
94466310402991,16233140694
82851329951625,92293880752
82851329951625,76767097420
41917072548596,66251803959
82851329951625,60820868110
82561615894649,17733493364
45295288702545,75945178837
72465950607081,42828610512
53902059683323,68223647908
98350280848017,78558013786
34309540217627,23513955375
18281739518582,18690897935
20077990191341,71010224838
31161948922058,39865053785
68312882938921,65862816230
34309540217627,55492533949
82622589316584,21083537444
41917072548596,96944647226
96758550393062,65836835272
85833961954628,30416119277
33627455438980,17043617987
94312606099957,64763348634
74549080594929,74208381818
49341182316212,58230783451
95660750107841,57512745769
54815793842573,29831054933
82622589316584,86441508670
97534969517714,36118529805
21656594657176,14188967429
80509909102767,27185819902
96252915496527,21432468838
94466310402991,51230026165
79522914976349,16671534897
92522664749144,26315031125
29394446117338,97543734378
82484311618001,74322272096
84419120657576,24947517479
68312882938921,48183442470
92472164654253,61219644518
77363555522414,56827053184
79188359316833,10121577487
37807480399323,79883222212
84419120657576,37784667300
80509909102767,47580767548
77363555522414,84077557559
39003021370379,88214618506
31161948922058,60930840381
55841356143005,36714864815
20077990191341,55332757758
41418339362464,61196505081
20077990191341,80549556253
31161948922058,64223323622
72940236893833,29749123016
45295288702545,91945631962
27745130881963,11450246857
47826093703467,19985507570
85443217227750,30054096892
62668877819131,64018357188
79188359316833,15523819198
41418339362464,70861856830
96252915496527,58533101073
80197117608063,58083841260
94312606099957,19728313672
17930212248350,85165873374
25776742292783,98849286619
69595295206961,42244819922
97990733908995,21524952464
34309540217627,60946683063
65012305574195,14566008889
96758550393062,47562779528
85443217227750,13963494199
94466310402991,79519499429
91166863731899,66808555673
18281739518582,51114140563
17930212248350,66262599503
62749743857167,65645194794
94466310402991,80343555288
53902059683323,84456350323
72940236893833,91668803384
74549080594929,19997722251
18281739518582,91312052505
59108194804780,50615884232
59108194804780,54252793142
32446416049734,21764102281
59191751694955,99953963165
61921603224803,89618369384
82011566347608,27040864926
93922386015918,82054608372
33348500404737,58930777247
77363555522414,66485543423
62749743857167,96450879661
21656594657176,43615476454
39003021370379,51604296066
38045647514401,60054211414
94466310402991,32596070727
74549080594929,61765476497
61303513933329,85236814996
80509909102767,78944312942
20077990191341,16211809218
62749743857167,80442230626
29394446117338,83616376206
24366148453943,55642679176
25776742292783,85256945093
68312882938921,52504032978
20077990191341,77284878892
41418339362464,51297399291
19340753971102,34317425171
68773749662947,19317424553
94823868628552,42794222924
14449365346203,70155550015
82851329951625,18172385919
82874747428016,76272133634
47826093703467,63382531486
29394446117338,36476458296
84419120657576,63099284822
93922386015918,74713138453
85833961954628,20620758517
18281739518582,29803576438
47826093703467,62045704274
59641810724473,22059811554
83278808046270,91954644894
69595295206961,97519253326
82165497775159,38632290646
94466310402991,50843603333
36551947019119,62928320725
37807480399323,64004904852
54815793842573,41222469055
58380936692239,88402746236
97534969517714,38522490281
24366148453943,31177998350
82011566347608,74105886520
61303513933329,12524662882
24213037007828,62785545227
97534969517714,32807355312
92522664749144,52950014643
94466310402991,95037308551
39280180505111,20671571747
92472164654253,65786703648
83278808046270,52471786111
97990733908995,62043016583
80197117608063,49855829697
84419120657576,79780493362
46097289636674,34257719694
80197117608063,32967466770
82874747428016,36847846647
32146474794536,65036740172
46097289636674,14694369297
69595295206961,66326628494
72940236893833,64571035630
45295288702545,13500854462
62668877819131,70817437759
94466310402991,18019909640
36551947019119,49281693226
75879460602581,76020909654
31032450253537,37514805460
21656594657176,63467968717
82165497775159,66938058878
27745130881963,34392546280
33627455438980,87497096798
24213037007828,12375665361
69595295206961,13934096913
18281739518582,43734876260
79522914976349,71859759932
80197117608063,47228205564
29394446117338,36461904113
85833961954628,24943270937
38045647514401,47173756947
96758550393062,61591819045
21656594657176,44724330203
39280180505111,97399730241
41418339362464,50169110076
72465950607081,53989705594
77363555522414,81742526704
80993060686527,48917591744
29394446117338,24871125639
17930212248350,39673693089
49341182316212,10001470475
82011566347608,19752186774
52353336284687,47730431111
80197117608063,57646406025
40118078390691,37934155451
20077990191341,68604534172
31032450253537,71874930060
55841356143005,45286018686
33348500404737,39588870013
95660750107841,77737507303
33627455438980,97497289715
21656594657176,81895513559
19340753971102,45880529758
94466310402991,47914187648
96758550393062,27055779722
91166863731899,58268421660
72465950607081,16676173347
68773749662947,82708077943
36165256900022,13045619909
68773749662947,27049869371
36551947019119,52480929498
56114895756964,15159494134
82011566347608,36365219700
47826093703467,26425802117
55841356143005,85145506498
83278808046270,84371237961
82874747428016,47876099062
61921603224803,91719313892
35810129552383,78891622428
