CPF,ID,papel
77865526808,9016,heroi
89782104555,693,ladrao
97910203555,2048,assassino
91978880965,672,ladrao
45294382560,9806,heroi
50294322171,1433,heroi
84065321519,652,lenhador
78710292980,9833,mocinha
10955596831,120,banqueiro
73579592968,768,heroi
87549845532,672,ladrao
34204444604,10992,banqueiro
94350372206,1809,banqueiro
62090201667,14462,mocinha
16233140694,553,mochinho
92293880752,508,figurante
76767097420,70,mochinho
66251803959,10625,heroi
60820868110,10647,ladrao
17733493364,1999,banqueiro
75945178837,10559,mochinho
42828610512,693,lenhador
68223647908,10590,figurante
78558013786,1429,banqueiro
23513955375,9476,figurante
18690897935,1809,ladrao
71010224838,2575,heroi
39865053785,672,figurante
65862816230,167,mochinho
55492533949,176,figurante
21083537444,2067,assassino
96944647226,12211,mocinha
65836835272,2067,assassino
30416119277,1921,figurante
17043617987,10867,heroi
64763348634,671,banqueiro
74208381818,1429,mocinha
58230783451,10647,heroi
57512745769,1921,mochinho
29831054933,22,mochinho
86441508670,1429,mocinha
36118529805,768,ladrao
14188967429,10559,ladrao
27185819902,243,lenhador
21432468838,6466,assassino
51230026165,553,assassino
16671534897,672,banqueiro
26315031125,1824,heroi
97543734378,1824,figurante
74322272096,9373,ladrao
24947517479,652,ladrao
48183442470,869,ladrao
61219644518,508,lenhador
56827053184,10559,heroi
10121577487,9373,lenhador
79883222212,1921,figurante
37784667300,1809,mochinho
47580767548,672,lenhador
84077557559,176,ladrao
88214618506,4247,mocinha
60930840381,120,assassino
36714864815,10567,figurante
55332757758,129,lenhador
61196505081,2675,assassino
80549556253,670,figurante
64223323622,425,assassino
29749123016,9741,mocinha
91945631962,302,mocinha
11450246857,121,heroi
19985507570,869,lenhador
30054096892,9532,ladrao
64018357188,129,lenhador
15523819198,70,heroi
70861856830,161,figurante
58533101073,9476,banqueiro
58083841260,1900,mocinha
19728313672,98,banqueiro
85165873374,310,mocinha
98849286619,11544,banqueiro
42244819922,1824,mochinho
21524952464,1538,mochinho
60946683063,243,banqueiro
14566008889,121,figurante
47562779528,768,assassino
13963494199,24,mochinho
79519499429,8920,banqueiro
66808555673,9373,assassino
51114140563,508,banqueiro
66262599503,167,ladrao
65645194794,167,mocinha
80343555288,1921,heroi
84456350323,129,mocinha
91668803384,634,mochinho
19997722251,10559,banqueiro
91312052505,322,heroi
50615884232,10867,assassino
54252793142,2114,heroi
21764102281,10992,heroi
99953963165,9806,figurante
89618369384,10867,banqueiro
27040864926,6466,ladrao
82054608372,302,figurante
58930777247,693,mocinha
66485543423,19457,assassino
96450879661,17774,mochinho
43615476454,98,assassino
51604296066,9476,banqueiro
60054211414,10647,lenhador
32596070727,17774,banqueiro
61765476497,1809,ladrao
85236814996,1809,mocinha
78944312942,22,mochinho
16211809218,70,mochinho
80442230626,13654,banqueiro
83616376206,98,assassino
55642679176,9373,heroi
85256945093,9741,banqueiro
52504032978,22,mochinho
77284878892,4247,mochinho
51297399291,322,ladrao
34317425171,1433,heroi
19317424553,6466,mochinho
42794222924,2067,heroi
70155550015,70,heroi
18172385919,176,ladrao
76272133634,161,figurante
63382531486,9741,lenhador
36476458296,616,heroi
63099284822,2114,heroi
74713138453,10567,ladrao
20620758517,2059,heroi
29803576438,616,assassino
62045704274,9532,mocinha
22059811554,2675,ladrao
91954644894,10992,banqueiro
97519253326,2114,figurante
38632290646,671,heroi
50843603333,243,heroi
62928320725,768,assassino
64004904852,8920,figurante
41222469055,9833,lenhador
88402746236,77,lenhador
38522490281,14128,lenhador
31177998350,24,lenhador
74105886520,98,figurante
12524662882,121,banqueiro
62785545227,9741,assassino
32807355312,310,lenhador
52950014643,693,mocinha
95037308551,6466,lenhador
20671571747,167,ladrao
65786703648,652,ladrao
52471786111,167,ladrao
62043016583,310,mocinha
49855829697,9476,assassino
79780493362,19457,lenhador
34257719694,671,mochinho
32967466770,302,figurante
36847846647,9373,banqueiro
65036740172,421,mochinho
14694369297,2067,lenhador
66326628494,671,lenhador
64571035630,10567,heroi
13500854462,553,lenhador
70817437759,2841,mochinho
18019909640,65,lenhador
49281693226,77,mochinho
76020909654,4614,mochinho
37514805460,869,mocinha
63467968717,768,assassino
66938058878,98,ladrao
34392546280,10992,assassino
87497096798,693,banqueiro
12375665361,10567,figurante
13934096913,9373,assassino
43734876260,8920,banqueiro
71859759932,6466,lenhador
47228205564,12658,mochinho
36461904113,310,lenhador
24943270937,11081,assassino
47173756947,10567,figurante
61591819045,9806,heroi
44724330203,2114,mocinha
97399730241,1647,banqueiro
50169110076,768,assassino
53989705594,1574,assassino
81742526704,19457,ladrao
48917591744,2575,figurante
24871125639,1900,mocinha
39673693089,19457,ladrao
10001470475,14128,lenhador
19752186774,672,mocinha
47730431111,302,lenhador
57646406025,10992,mochinho
37934155451,4614,mocinha
68604534172,98,mocinha
71874930060,70,figurante
45286018686,425,lenhador
39588870013,322,ladrao
77737507303,98,lenhador
97497289715,616,banqueiro
81895513559,322,assassino
45880529758,652,ladrao
47914187648,557,ladrao
27055779722,120,banqueiro
58268421660,2067,heroi
16676173347,508,ladrao
82708077943,693,mocinha
13045619909,1538,heroi
27049869371,70,figurante
52480929498,2114,assassino
15159494134,2067,mocinha
36365219700,2048,mochinho
26425802117,616,ladrao
85145506498,508,mocinha
84371237961,2067,ladrao
47876099062,2841,heroi
