ID,titulo,tema,criador_cpf
560201,Scary Movie,policial,99548698212
433580,Mission: Impossible II,aventura,78457598472
788808,Gladiator,terror,17298933709
356843,Memento,musical,63421026442
328562,Final Destination,aventura,17674699867
237041,Mission to Mars,policial,40424260175
591036,Traffic,internacional,70483517520
438305,Dinosaur,aventura,94052928540
297803,Unbreakable,internacional,41774461076
974480,The Yards,romance,38357797730
855569,High Fidelity,kids,91395661913
613221,Frequency,kids,23542643276
621332,Pay It Forward,musical,59526944220
637521,Almost Famous,musical,30907379032
889996,Highlander: Endgame,internacional,14100568400
762125,Malena,romance,62230424364
687356,The Lord of the Rings: The Fellowship of the Ring,kids,45109136068
232447,Harry Potter and the Philosopher's Stone,kids,45294382560
885840,Spirited Away,internacional,61821230027
355829,Ocean's Eleven,internacional,43560409879
733275,Final Fantasy: The Spirits Within,policial,78130405233
893567,The Tailor of Panama,internacional,72207932322
877257,Planet of the Apes,policial,65368479441
726672,In the Bedroom,musical,40592786333
259245,Bridget Jones's Diary,adulto,99884038493
189704,Sweet November,drama,44598846644
109147,A Knight's Tale,policial,30293523599
175082,The Devil's Backbone,terror,59465209545
976740,Someone Like You...,drama,23471738044
616807,K-PAX,policial,43270268982
987233,Cats & Dogs,internacional,49188377692
479310,From Hell,aventura,27141303994
959296,The Lord of the Rings: The Two Towers,policial,57947524913
355873,Ice Age,kids,45766776090
402528,Harry Potter and the Chamber of Secrets,terror,89688174476
530385,Spider-Man,aventura,48798632520
899760,Signs,adulto,79848178499
762793,8 Mile,drama,47243578497
792138,Chicago,aventura,93570738670
576055,Treasure Planet,drama,99075973766
438705,Cinderella II: Dreams Come True,romance,25341560599
615418,Lilo & Stitch,kids,25728231911
296860,Derailed,terror,86621366826
655120,We Were Soldiers,internacional,27215168662
974021,Austin Powers in Goldmember,adulto,77399224164
731420,25th Hour,musical,60640594422
263505,The Rules of Attraction,aventura,27001259962
435057,The Sum of All Fears,aventura,29944415188
622431,Pirates of the Caribbean: The Curse of the Black Pearl,kids,41756682505
405228,The Lord of the Rings: The Return of the King,terror,26158646638
932854,Bruce Almighty,internacional,70480252033
564664,Kill Bill: Vol. 1,adulto,69515052147
811438,Mystic River,policial,85908190230
786076,Oldboy,terror,26879722129
542283,101 Dalmatians II: Patch's London Adventure,kids,42207129665
718432,The Last Samurai,kids,24320809875
997535,Anger Management,terror,78254395716
841111,Dogville,aventura,28332965570
617477,Old School,internacional,21075690300
145465,Freddy vs. Jason,aventura,58957314453
815447,The Texas Chainsaw Massacre,internacional,95075701656
862234,The Recruit,kids,97365006091
531375,Love Actually,policial,77490214939
698139,Swimming Pool,internacional,80045925597
526195,Saw,terror,35392985277
418555,National Treasure,romance,93335824811
690205,"I, Robot",musical,36092753056
411670,The Incredibles,kids,74938855428
656171,Million Dollar Baby,drama,94446142738
919786,Troy,internacional,30336665953
746346,Collateral,aventura,58209435506
114524,50 First Dates,terror,20127714375
794551,Mean Girls,terror,96263629864
312107,Taking Lives,drama,11208893822
979956,The Life Aquatic with Steve Zissou,internacional,26879722129
429057,Garfield,terror,49936167671
781939,The Phantom of the Opera,internacional,53395418664
866845,The Manchurian Candidate,internacional,43685706708
664557,Meet the Fockers,policial,26253973926
431516,A Very Long Engagement,romance,48049283126
