CPF,codicao_socioeconomica,regiao_geografica,posicao_politica,religiao
42230481369,classe media,nordeste,centro,catolico
83974572770,classe alta,norte,esquerda,budista
31508543337,classe alta,centrooeste,esquerda,budista
93883955714,classe baixa,nordeste,esquerda,evangelico
30345303648,classe media,centrooeste,direita,catolico
01920639075,classe media,sul,centro,budista
55638150236,classe alta,sul,centro,judeu
85254979377,classe baixa,centrooeste,esquerda,budista
58932054780,classe baixa,sudeste,direita,ateu
96439917305,classe media,sudeste,esquerda,catolico
98054867227,classe media,norte,esquerda,catolico
85531923628,classe baixa,nordeste,centro,catolico
93402913380,classe baixa,centrooeste,direita,ateu
23195101169,classe baixa,centrooeste,esquerda,ateu
45464664342,classe media,sul,esquerda,judeu
89967652919,classe alta,norte,direita,evangelico
01602367269,classe media,nordeste,centro,espirita
32290979216,classe alta,sudeste,centro,evangelico
60459336426,classe baixa,sudeste,centro,judeu
57455491392,classe alta,nordeste,esquerda,judeu
33653995215,classe alta,sul,centro,ateu
68448948550,classe baixa,sudeste,esquerda,evangelico
67256985747,classe media,nordeste,direita,ateu
66362469507,classe baixa,sul,direita,judeu
24658686224,classe media,norte,centro,budista
79209300151,classe baixa,sul,direita,ateu
06428172836,classe media,norte,centro,ateu
96322311209,classe alta,sul,direita,espirita
96222450880,classe alta,nordeste,centro,judeu
45362219034,classe alta,sudeste,esquerda,judeu
23444552103,classe baixa,nordeste,centro,judeu
76655137544,classe baixa,sudeste,esquerda,espirita
58896894592,classe alta,nordeste,centro,catolico
89168612468,classe alta,centrooeste,centro,ateu
08644340024,classe alta,nordeste,esquerda,evangelico
79647444203,classe alta,nordeste,centro,catolico
87057955799,classe alta,norte,esquerda,judeu
71401834961,classe alta,centrooeste,direita,catolico
18120255676,classe baixa,sul,direita,catolico
82910046905,classe media,sul,esquerda,judeu
42611790467,classe alta,nordeste,centro,evangelico
51777186579,classe alta,nordeste,centro,catolico
61596110968,classe media,sudeste,centro,budista
35101621315,classe alta,centrooeste,esquerda,evangelico
78954917943,classe media,sudeste,esquerda,ateu
54646632361,classe media,norte,centro,evangelico
92294849129,classe baixa,sudeste,esquerda,evangelico
70260387050,classe alta,nordeste,direita,ateu
50944150498,classe baixa,sudeste,direita,catolico
46845456545,classe alta,sudeste,esquerda,evangelico
