CNPJ,CPF
75452742332469,77553352644
59825275164068,06461558362
84328111752518,17431870275
38424232943755,07346376555
75537733959540,53482073107
01862378552901,67676792835
64876990548258,97104163471
86542403451924,71230680232
45583750019407,24386897324
44309276836310,34433277166
79823741362837,55294796002
19535361277025,55655368457
77893354767649,71401834961
57375253012822,44625759181
94862152794930,72644632610
90879043037819,67120543948
81992422809816,98054867227
48790338341098,53764094684
37484063621838,89967652919
28874206564624,89470290796
82054887356618,66362469507
45583750019407,48640804590
32207986413594,60809920232
67121296315136,19075933926
45583750019407,80335882707
32207986413594,70260387050
79823741362837,90540947267
08292595357314,43462822643
86224138910031,92282254437
29795560862544,71230680232
75537733959540,53764094684
84328111752518,61201117680
62955389636417,23195101169
67064901514067,92282254437
48421204077509,70260387050
85071163038488,71401834961
79823741362837,43462822643
69867062435424,32290979216
71966129996316,23195101169
19535361277025,97689470542
81192177208642,46121162527
68084062624036,71230680232
99600831193590,31508543337
28874206564624,29037602305
60478659741724,32290979216
38849862794298,85531923628
57375253012822,43462822643
38752604644658,70260387050
77991992041095,98054867227
47728606127283,32290979216
34530497194565,27574821749
03518638881787,67256985747
59825275164068,66362469507
95806094844764,04070585629
77991992041095,12743868991
74470152064510,23195101169
13049492151185,85531923628
70764542810774,40520821005
69867062435424,08459191417
80162918286957,85531923628
32442563369964,69417222111
48421204077509,07346376555
74405559367564,42963488505
25997244365929,66362469507
38424232943755,32290979216
07252372313754,18907914107
99719889955002,00381024382
96733966826935,98054867227
90879043037819,93402913380
96266003308482,42230481369
32205404935419,67473465396
57375253012822,39419935310
64876990548258,89470290796
35929608222008,94526641215
81192177208642,19039390896
38155076983512,08459191417
75147554440501,51209072401
48866642299558,67786345560
37484063621838,22191459329
64876990548258,52228078744
75147554440501,24477427300
04142803612552,93402913380
68084062624036,39419935310
69061153123172,05039061444
79823741362837,08459191417
14461219408338,22159254027
93155399124091,04070585629
69588352460919,78954917943
75147554440501,48640804590
68953899976181,90540947267
86224138910031,17748732540
07252372313754,55655368457
25997244365929,69417222111
70764542810774,85531923628
17353246549261,51777186579
24681360079727,67676792835
45752103533374,80366338941
57375253012822,22159254027
78840522772737,32290979216
41027111863505,80335882707
69867062435424,93705208402
38752604644658,64962455172
45752103533374,93883955714
32442563369964,55655368457
86167074667527,82919424560
93155399124091,18907914107
07252372313754,71546358433
44309276836310,23195101169
69588352460919,93883955714
15183072438024,41604470178
38155076983512,71401834961
75920724138349,34628833159
88187551360750,24386897324
68666695374980,93705208402
44309276836310,64962455172
81192177208642,41604470178
75147554440501,46000480795
32207986413594,71401834961
37484063621838,23248508562
85071163038488,14827675633
99719889955002,55294796002
38849862794298,93812061015
94082239354468,82919424560
79729360556746,31508543337
32102586440073,17599360018
