CPF,ID,papel
71401834961,167,figurante
23195101169,114,figurante
23195101169,48,coadjuvante
17748732540,152,figurante
83526423577,26,protagonista
45464664342,37,coprotagonista
13183823983,81,protagonista
39419935310,146,protagonista
72644632610,120,coadjuvante
92282254437,112,coadjuvante
15234931851,99,figurante
93705208402,65,figurante
59403982813,96,protagonista
21912056400,105,coadjuvante
93883955714,170,coprotagonista
66362469507,49,figurante
24477427300,99,coprotagonista
41604470178,127,protagonista
23195101169,171,coadjuvante
67473465396,152,figurante
90566944856,99,coadjuvante
98054867227,113,coadjuvante
93402913380,137,coadjuvante
41604470178,11,coprotagonista
14031789065,126,protagonista
55294796002,90,coprotagonista
97104163471,78,figurante
14031789065,77,coadjuvante
98054867227,13,coprotagonista
07346376555,139,figurante
80335882707,106,figurante
14827675633,11,protagonista
13183823983,39,protagonista
97725750066,170,coadjuvante
17748732540,65,figurante
59403982813,30,coadjuvante
64582457644,35,coadjuvante
41601877126,104,coprotagonista
55655368457,107,figurante
14645898267,96,coadjuvante
34628833159,58,coprotagonista
52228078744,39,coprotagonista
18907914107,45,protagonista
13183823983,58,coadjuvante
85425823503,138,protagonista
85531923628,14,coadjuvante
71401834961,160,coadjuvante
61201117680,120,figurante
80256641102,79,coprotagonista
60587448241,51,coprotagonista
22159254027,47,protagonista
06428172836,82,protagonista
92282254437,21,figurante
71401834961,11,figurante
11163225476,46,figurante
71546358433,5,coprotagonista
90540947267,34,figurante
76655137544,7,coadjuvante
29037602305,109,figurante
77553352644,72,protagonista
82919424560,86,coadjuvante
17431870275,77,coprotagonista
45464664342,172,coprotagonista
67473465396,177,figurante
98054867227,100,protagonista
70260387050,2,protagonista
51209072401,98,coadjuvante
94742576404,10,coadjuvante
98054867227,17,figurante
45366402407,48,coadjuvante
23195101169,52,coprotagonista
34433277166,186,figurante
22314819720,15,coprotagonista
71401834961,148,protagonista
71230680232,92,figurante
77553352644,166,coprotagonista
53482073107,49,protagonista
85425823503,106,coprotagonista
45366402407,54,figurante
60459336426,161,coadjuvante
46000480795,86,protagonista
48640804590,183,figurante
34433277166,119,figurante
17748732540,183,coprotagonista
60809920232,163,figurante
70260387050,53,protagonista
85531923628,73,figurante
72644632610,175,coadjuvante
80864240004,96,protagonista
66362469507,115,coprotagonista
93812061015,18,coadjuvante
67256985747,71,protagonista
45366402407,26,protagonista
61201117680,11,protagonista
21416377461,111,coprotagonista
46845456545,139,coadjuvante
46845456545,72,figurante
98054867227,38,coprotagonista
53482073107,127,protagonista
49840863021,196,coadjuvante
53482073107,108,coadjuvante
34628833159,107,coadjuvante
97689470542,147,coadjuvante
76655137544,12,protagonista
76243814907,180,protagonista
05039061444,177,coadjuvante
11905722707,157,figurante
54176794147,196,coadjuvante
90540947267,12,coadjuvante
55655368457,97,figurante
64610171754,181,coprotagonista
93402913380,29,coadjuvante
72644632610,179,figurante
71230680232,102,coprotagonista
67120543948,61,coprotagonista
24477427300,56,coprotagonista
15234931851,37,coadjuvante
89470290796,37,figurante
48037233959,16,coprotagonista
87057955799,100,coadjuvante
98054867227,150,coprotagonista
46086248254,148,coprotagonista
53764094684,157,figurante
46086248254,155,coadjuvante
86807268207,161,coprotagonista
45366402407,80,protagonista
89967652919,29,coprotagonista
59403982813,86,coprotagonista
59403982813,98,protagonista
74510667440,191,figurante
46845456545,186,coadjuvante
94742576404,181,coadjuvante
05039061444,112,protagonista
19039390896,150,protagonista
71546358433,9,protagonista
93402913380,158,coprotagonista
01635067952,174,coadjuvante
04070585629,12,figurante
11163225476,200,coprotagonista
71401834961,43,protagonista
15234931851,71,coadjuvante
64610171754,160,coadjuvante
40520821005,140,coadjuvante
67786345560,64,coprotagonista
74510667440,95,protagonista
22191459329,35,figurante
71401834961,71,figurante
26524324481,38,protagonista
70260387050,59,protagonista
12743868991,77,coadjuvante
48640804590,56,figurante
05039061444,52,figurante
78954917943,113,protagonista
42963488505,32,figurante
55655368457,132,coprotagonista
18120255676,168,figurante
90540947267,74,figurante
64610171754,77,coadjuvante
51777186579,7,protagonista
93402913380,118,figurante
14879502650,21,protagonista
71230680232,44,coprotagonista
78954917943,23,coprotagonista
89470290796,166,coprotagonista
34628833159,137,figurante
71401834961,192,coadjuvante
15234931851,98,figurante
04070585629,59,coadjuvante
08459191417,96,figurante
54646632361,16,coprotagonista
01635067952,18,coprotagonista
01635067952,128,figurante
13183823983,181,figurante
67786345560,75,figurante
08801337902,67,protagonista
78954917943,141,coprotagonista
55294796002,13,protagonista
17748732540,98,coadjuvante
26239557971,31,coadjuvante
67120543948,84,coprotagonista
48640804590,120,coprotagonista
98054867227,110,coprotagonista
06461558362,85,coprotagonista
46845456545,12,coprotagonista
93402913380,54,coadjuvante
54646632361,100,figurante
80864240004,180,coadjuvante
94742576404,199,coadjuvante
12743868991,111,protagonista
17431870275,160,coadjuvante
76655137544,55,figurante
17431870275,158,protagonista
86807268207,177,protagonista
14031789065,6,protagonista
67120543948,87,coprotagonista
71546358433,87,coadjuvante
89967652919,68,figurante
22159254027,5,coprotagonista
41604470178,111,coprotagonista
00381024382,58,figurante
