pessoa_CPF,ator_CPF
42790507172,39286083591
93375617071,33398180093
78972757611,19601269629
82514851440,15899987727
97683622331,48457877512
64014243634,30978179183
27159259113,30108930786
53531169067,84850118971
89170743355,67705758922
50230248559,36821023664
61539223466,76499201773
45759438747,27189597501
63544067217,58131943374
77279712005,36030870084
61485766099,67592152104
10464820931,58823007958
77531863623,55115001779
79826442530,89828995874
68046269414,84533622127
53376791886,28048297766
27869624673,28176834077
34221689345,75627686800
51740873931,90592322373
91215371530,80802699535
11308410855,72806321552
97869937303,16338734466
58257410283,27685760298
94362450164,44734878659
14855220783,49227827404
19676992760,89006257598
54714851774,91689748426
61428767829,84802033278
98021690596,93607677190
28404968609,27852451813
45285629370,78440118979
98127423895,35950561381
71200469178,96880831678
58176585599,88719232188
99987065813,72297969599
27555720124,13701911737
30942817761,75481702411
24906186993,56201463792
41395376462,20040964395
44873296326,72490787819
25342978115,81184934401
96548326156,48992504875
53071651804,87102582461
69071883522,85041646388
13566058802,96664348875
66567882919,84613050182
29060149739,32712943087
51304418968,67203695717
17917242127,74969756020
39315402791,59657418315
31763109071,97458274266
19257930836,62603747808
39167930786,52968409504
58063792138,27020767199
43398559601,86072589488
57938289313,89773705355
79988789364,47054799212
51427069767,79605680352
23033429021,33573786164
33040664944,66841426658
42794433979,23197836991
95017900824,14829886212
95963467492,16736390489
66141218889,67158132861
34525451816,40514543150
78256334522,32802337382
39453211920,90895337076
32611563783,16539403993
32890375483,92493538548
67982159605,83983210642
28565527790,37991737055
60809678864,51767209118
20101277233,42729111486
41553492469,86928682046
57905388618,92721475583
30255881015,47065315389
23633833850,90810833295
76318923993,75916000372
89820718372,91970807375
95364324218,24871125639
88845014113,38443768625
61857727285,60514951530
76643554769,46197129128
34702162968,99186150003
92502632227,35882104961
37871277509,55176211370
18236322337,18136040529
82367220463,52565046605
42064827706,54300325178
59261521104,79652305858
66833057485,66191030402
46569767583,26664189067
76239533064,27978213826
63969366467,24760701115
22669847424,10353503168
29108206404,97914561587
62601877544,68443500556
63227085722,32226737311
15249966030,65852395010
39710627979,61044114302
29723878842,90381562165
64062772937,76462800862
28834326651,81373534185
48799440897,59080709886
21331590488,85713397055
43814152279,20004340609
67759037513,51011707587
82558936112,64444806249
32554058559,24615237083
28633088516,61953482621
67314448229,73686025942
31357828262,79637291936
86179285172,16455375372
87814109994,45440094627
43702129881,30139092160
20764040297,78550246996
65328159471,22772738233
53195422176,29671684359
31494318301,89824734099
16521637150,59946988965
88427276558,28568614115
48603292288,95799397994
50592942320,10763648940
83544390691,50616231983
76133341596,77091419289
56912434574,92026129681
94283521632,62213129780
45598544015,83157073999
34480696911,95928053160
16777760439,54000529480
47602209197,91489569987
74019771425,28381438814
51375086823,44394581954
95214194195,54216302137
12263623999,74265057532
29565478112,85916598791
35813634638,46442930121
66615227267,70927210807
87581130140,64094440567
95961769853,51776231677
22614639099,54846989875
45351712333,92820036651
16895614523,63245306571
84201260874,35710075061
39553775882,41274296397
17842846903,91208900125
21831251163,94796286675
81576806394,33296042388
29039447361,29910704015
48847550214,22424918951
36299186020,41963955144
69896346327,49950571610
84680543426,27365133492
14064275643,99443595803
72975066288,69023034589
21274104978,14170769906
50371393163,50153921282
10598739393,38905717725
56586180951,27830598889
36183790513,82808259011
76906011699,31649203710
39849555284,57915985232
50989770531,55727123459
91557100639,22370373277
42252707969,41813508251
57360780798,93412028029
49681392227,45341098542
69561451692,95536176070
46031138631,11667075248
77489124670,88990159257
90415117002,56139908349
46770371893,26394404560
84026460464,99801269806
79950663878,76240673656
92385214607,60272350258
76732302714,89050938132
19895454298,31886383787
17337840010,29247889064
38294976444,24185749566
88502482418,95187295256
88755953819,41647425810
81034254933,90662942451
75550849681,86769370723
15117419645,45857100887
31217785338,93897863373
39056821876,20467800782
80973131081,29464879290
36767472675,94200969459
77532005516,83848534512
35274084459,94740999686
32668917182,90268797409
63177765705,73759662238
64441819934,61787336939
67904035154,86374638388
45351712333,44061120825
72732697227,82951137911
56607323534,28957192912
19515613203,15218790784
37775746899,64487204526
91675337925,63799423974
60563908669,27831506704
19592613039,77092626522
63356238998,30326637318
27879046480,48963526330
43780847878,73194358986
92005388869,94902112072
19717672338,97712675800
50875996048,72166011411
24715128032,74769884406
78199500200,58675571640
44916473852,26654158061
85440840741,91973628798
29340816211,91260322161
58812846753,86868850246
68291179268,39346735614
75660743725,58152266709
28938958888,32418995510
33633849957,45413977526
42928985794,13893907562
45919003546,12928192611
98304682765,45242950891
28315825288,78673945254
77674711686,21437609747
92689477155,95207050709
80972353022,69681583657
23327310282,56667340482
57765965781,71478414633
26609974435,25828778632
63615830764,34291019202
59486180548,87173255183
22286437542,30143036797
51701795881,60579401161
90003542027,38537093226
79803822977,90398969982
68992301603,17220511713
42080482681,41795228620
90174437362,37622167766
49809456609,44302184493
10307801100,77211818764
41778381386,93407461188
29339576966,60646334959
51370850337,21412959069
78698787082,90132417290
21154324038,94964621420
27683788854,17303791074
35394345065,72219229487
30239489722,66191030402
94419306699,28357518658
70331394948,55287016958
70575715782,89244512920
55910270552,80594700803
54127914445,85906240873
37257870512,18305289284
61635147816,45931891804
12356841776,63108667282
39990289967,66209587597
16551187085,21352429310
96084531461,54789173576
31566794417,79374392744
37470254020,20211687294
69551850352,78559101648
12533689200,90664782913
