CPF,codicao_socioeconomica,regiao_geografica,posicao_politica,religiao
65511364189,classe media,norte,centro,espirita
28061962721,classe baixa,nordeste,direita,budista
14390644307,classe media,norte,esquerda,budista
37801248976,classe media,sul,esquerda,espirita
57073596969,classe baixa,centro oeste,esquerda,espirita
57864903799,classe alta,sul,esquerda,budista
33749663233,classe alta,norte,direita,espirita
81391799182,classe alta,nordeste,direita,judeu
73675227678,classe media,nordeste,esquerda,budista
31718158869,classe alta,centro oeste,centro,judeu
54582825955,classe baixa,norte,esquerda,budista
15614118884,classe alta,sul,esquerda,judeu
64222011651,classe media,norte,esquerda,catolico
28505434388,classe alta,norte,centro,catolico
50294322171,classe alta,nordeste,direita,judeu
84065321519,classe baixa,norte,direita,catolico
78710292980,classe baixa,sul,esquerda,espirita
48976920184,classe baixa,norte,centro,catolico
49149526044,classe baixa,sul,esquerda,budista
20533615331,classe media,nordeste,esquerda,budista
41688898458,classe baixa,sul,direita,judeu
37514586115,classe baixa,norte,centro,budista
58747213377,classe media,sul,centro,espirita
96252667103,classe baixa,nordeste,esquerda,espirita
74696159804,classe alta,nordeste,direita,catolico
64300811747,classe alta,sudeste,esquerda,catolico
69973286678,classe baixa,sul,direita,budista
87533159972,classe media,nordeste,esquerda,budista
99308809343,classe alta,sul,direita,espirita
12253338689,classe baixa,norte,centro,judeu
11747804838,classe alta,nordeste,direita,budista
53968700380,classe media,sudeste,centro,judeu
62970034215,classe baixa,sudeste,centro,judeu
34204444604,classe alta,sul,centro,catolico
15521663463,classe baixa,norte,direita,budista
97073762616,classe media,sul,centro,judeu
16233140694,classe alta,nordeste,direita,catolico
81414760105,classe media,nordeste,centro,judeu
82298887487,classe alta,sudeste,centro,espirita
83892471065,classe alta,sudeste,direita,espirita
75527843782,classe baixa,sudeste,esquerda,budista
62379889437,classe baixa,centro oeste,direita,budista
90380462682,classe baixa,nordeste,centro,judeu
89309334603,classe media,centro oeste,esquerda,budista
24278971711,classe alta,sul,direita,espirita
92210548645,classe alta,sul,centro,catolico
44410258658,classe baixa,sul,direita,catolico
63413519706,classe alta,nordeste,centro,judeu
19526776691,classe baixa,centro oeste,direita,espirita
56968376943,classe alta,centro oeste,direita,judeu
58066727727,classe alta,sudeste,esquerda,catolico
27243102777,classe media,sudeste,centro,catolico
20297839822,classe baixa,centro oeste,esquerda,budista
36941605864,classe media,sudeste,centro,espirita
40222892712,classe media,sudeste,esquerda,judeu
33279619475,classe media,sudeste,direita,budista
68223647908,classe alta,norte,centro,judeu
39883954523,classe media,centro oeste,esquerda,budista
35290116995,classe baixa,centro oeste,esquerda,budista
32313359707,classe alta,norte,direita,judeu
78558013786,classe alta,sul,centro,catolico
23513955375,classe baixa,sul,centro,budista
55682449528,classe alta,norte,centro,catolico
63070117360,classe media,norte,direita,judeu
24510265508,classe baixa,nordeste,esquerda,judeu
53176321256,classe alta,sudeste,centro,budista
64762971989,classe baixa,sudeste,direita,espirita
45288859809,classe media,sudeste,centro,budista
87693628754,classe media,norte,centro,catolico
63884181519,classe baixa,centro oeste,esquerda,judeu
16191095950,classe alta,nordeste,centro,espirita
47276041945,classe alta,centro oeste,direita,budista
98332130337,classe alta,sudeste,direita,catolico
61134540230,classe baixa,norte,centro,catolico
21685124254,classe alta,nordeste,direita,budista
95839972794,classe media,centro oeste,direita,espirita
20789975560,classe baixa,sudeste,centro,budista
31265825725,classe alta,nordeste,esquerda,catolico
10221057035,classe media,centro oeste,direita,catolico
65862816230,classe alta,norte,centro,catolico
94398044280,classe media,centro oeste,esquerda,budista
85626805540,classe media,norte,direita,espirita
58606129566,classe baixa,centro oeste,direita,judeu
35243059083,classe alta,nordeste,centro,budista
55492533949,classe baixa,centro oeste,esquerda,judeu
21083537444,classe media,sul,centro,catolico
41209018503,classe alta,sudeste,centro,judeu
27588149351,classe media,nordeste,esquerda,budista
85850757289,classe baixa,nordeste,esquerda,judeu
12940910726,classe alta,sul,esquerda,judeu
27828955137,classe baixa,sudeste,centro,espirita
30416119277,classe baixa,centro oeste,centro,espirita
37438184288,classe media,centro oeste,esquerda,espirita
74018873875,classe media,centro oeste,centro,budista
44512093119,classe alta,norte,esquerda,judeu
64763348634,classe alta,nordeste,centro,espirita
71364952600,classe alta,sudeste,esquerda,espirita
58230783451,classe baixa,sul,centro,espirita
46155952070,classe alta,sudeste,direita,espirita
14235537174,classe alta,centro oeste,centro,espirita
61203645131,classe alta,sudeste,direita,budista
78440842571,classe media,sul,direita,judeu
18388476720,classe media,sul,direita,catolico
80077118713,classe baixa,nordeste,esquerda,espirita
29831054933,classe media,sudeste,esquerda,judeu
86441508670,classe alta,centro oeste,direita,catolico
74843960278,classe baixa,norte,direita,budista
22906595275,classe baixa,nordeste,centro,catolico
12765196489,classe media,nordeste,esquerda,budista
85292238438,classe media,nordeste,esquerda,judeu
43071852314,classe baixa,sul,centro,budista
19999937462,classe alta,nordeste,esquerda,judeu
20727164008,classe baixa,nordeste,esquerda,budista
26001358074,classe baixa,sudeste,direita,espirita
30069566663,classe media,nordeste,centro,catolico
51230026165,classe alta,sul,centro,budista
98957050880,classe media,sudeste,esquerda,judeu
77659277224,classe media,centro oeste,direita,catolico
99241698804,classe media,norte,esquerda,budista
26315031125,classe alta,nordeste,direita,catolico
59184707865,classe media,sul,direita,espirita
